iter	RMSE
0	8.372853306
1	8.369459394
2	8.366068301
3	8.362682138
4	8.359304546
5	8.355928677
6	8.352558375
7	8.349194901
8	8.34584062
9	8.342485117
10	8.3391434
11	8.3357987
12	8.332460935
13	8.329137675
14	8.325809599
15	8.322486517
16	8.319181069
17	8.315865751
18	8.312555741
19	8.309262315
20	8.305964402
21	8.302669319
22	8.2993871
23	8.296108184
24	8.292831065
25	8.289555562
26	8.286299064
27	8.283033537
28	8.279779057
29	8.276531383
30	8.273298107
31	8.270051877
32	8.266828256
33	8.263594416
34	8.260386086
35	8.257161924
36	8.253939948
37	8.250733147
38	8.247521124
39	8.244335471
40	8.241137579
41	8.237939928
42	8.23474696
43	8.231559444
44	8.228390155
45	8.225212579
46	8.22204429
47	8.218875401
48	8.215711628
49	8.21255255
50	8.2094179
51	8.206273752
52	8.20314859
53	8.20001504
54	8.19689933
55	8.193779104
56	8.190658338
57	8.187570723
58	8.184455945
59	8.181343537
60	8.178235985
61	8.175133467
62	8.172036201
63	8.168943956
64	8.165874266
65	8.162807679
66	8.159733079
67	8.156672564
68	8.153601845
69	8.150547231
70	8.147490542
71	8.144436994
72	8.14139043
73	8.138345675
74	8.135318361
75	8.132281126
76	8.129261011
77	8.126237075
78	8.123212943
79	8.120194861
80	8.117185107
81	8.114193089
82	8.111193297
83	8.108196279
84	8.105223745
85	8.102257089
86	8.099271888
87	8.096293098
88	8.09331472
89	8.090346586
90	8.087389483
91	8.084424237
92	8.081465958
93	8.078517789
94	8.075568572
95	8.072621784
96	8.069693985
97	8.066777535
98	8.063848158
99	8.06091915
100	8.058008838
101	8.055098731
102	8.052203836
103	8.049304744
104	8.046403332
105	8.043514233
106	8.040627066
107	8.037743427
108	8.034855676
109	8.031978243
110	8.029101755
111	8.02623613
112	8.023371491
113	8.020515255
114	8.01765095
115	8.014791952
116	8.011936804
117	8.009108047
118	8.00625926
119	8.003421507
120	8.000586546
121	7.997755001
122	7.994937455
123	7.992112983
124	7.989304229
125	7.986498228
126	7.983686141
127	7.980879083
128	7.978085602
129	7.975298209
130	7.972516296
131	7.969737253
132	7.966956486
133	7.964187648
134	7.961419544
135	7.958659405
136	7.955893219
137	7.953121638
138	7.950368477
139	7.947616809
140	7.944881316
141	7.942135155
142	7.939402523
143	7.936655425
144	7.933925471
145	7.931201849
146	7.928482869
147	7.925766598
148	7.923056998
149	7.920338363
150	7.91762267
151	7.914925033
152	7.91222859
153	7.909541226
154	7.90685557
155	7.904161098
156	7.901482847
157	7.898809077
158	7.896141983
159	7.89347653
160	7.890815323
161	7.888157086
162	7.885502317
163	7.882850204
164	7.880193089
165	7.877543399
166	7.874890707
167	7.872256604
168	7.869610273
169	7.866983043
170	7.864343042
171	7.861723069
172	7.859096785
173	7.856478339
174	7.853873621
175	7.851271088
176	7.84867496
177	7.846065823
178	7.843459869
179	7.840875341
180	7.838278177
181	7.83569967
182	7.833111535
183	7.83053235
184	7.827959271
185	7.825395423
186	7.822852767
187	7.820291292
188	7.817735112
189	7.815175112
190	7.812628999
191	7.810093327
192	7.807554843
193	7.805004643
194	7.802469879
195	7.799945457
196	7.797414489
197	7.794883656
198	7.792369546
199	7.78985845
200	7.787340103
201	7.784819196
202	7.782310626
203	7.77981603
204	7.777311916
205	7.77482015
206	7.772345413
207	7.769865493
208	7.767373665
209	7.76490058
210	7.762417441
211	7.759938474
212	7.757466204
213	7.754997623
214	7.752525771
215	7.750073227
216	7.747623642
217	7.745180462
218	7.742735075
219	7.740292065
220	7.737872593
221	7.735442502
222	7.733006952
223	7.730583866
224	7.728148788
225	7.72572451
226	7.723304531
227	7.720895539
228	7.718544195
229	7.716137573
230	7.713733111
231	7.711325666
232	7.708937443
233	7.706548422
234	7.704166109
235	7.701788267
236	7.699410231
237	7.697028223
238	7.694657756
239	7.692291533
240	7.689928421
241	7.687569036
242	7.685200707
243	7.682834039
244	7.680477299
245	7.678123128
246	7.675772942
247	7.673421173
248	7.671079152
249	7.668794121
250	7.66646505
251	7.664126048
252	7.661796423
253	7.659470749
254	7.657143423
255	7.654876416
256	7.652566797
257	7.650253352
258	7.647954397
259	7.645699471
260	7.643403736
261	7.641112368
262	7.638819424
263	7.636533545
264	7.63423945
265	7.631954569
266	7.629672811
267	7.627396036
268	7.625154852
269	7.622883003
270	7.620621198
271	7.618356364
272	7.616102438
273	7.613888734
274	7.611643379
275	7.609443229
276	7.607204698
277	7.604949306
278	7.602751673
279	7.600517716
280	7.598281253
281	7.596049358
282	7.593825767
283	7.591606777
284	7.589428168
285	7.587214174
286	7.585005546
287	7.582782129
288	7.580618184
289	7.57845413
290	7.576262092
291	7.574068018
292	7.57188095
293	7.569685326
294	7.5674956
295	7.565307314
296	7.56312497
297	7.560985329
298	7.558812046
299	7.556635174
300	7.554463499
301	7.552324972
302	7.55020173
303	7.548046017
304	7.545887769
305	7.543738468
306	7.541587378
307	7.539429328
308	7.537284385
309	7.535143122
310	7.533046075
311	7.530904962
312	7.528809849
313	7.526680821
314	7.524591514
315	7.522474196
316	7.520356675
317	7.518223709
318	7.516095153
319	7.5140206
320	7.511899786
321	7.509831922
322	7.507732451
323	7.50567059
324	7.503618748
325	7.501564919
326	7.499479414
327	7.497392546
328	7.495307201
329	7.49322536
330	7.491185926
331	7.489110306
332	7.487075546
333	7.485007017
334	7.48298216
335	7.480946596
336	7.478889785
337	7.476817562
338	7.474766678
339	7.472723508
340	7.470715482
341	7.468672208
342	7.466618645
343	7.464618315
344	7.462624105
345	7.460598575
346	7.458560137
347	7.456535206
348	7.454510075
349	7.452492303
350	7.450509633
351	7.448531634
352	7.446512856
353	7.444497568
354	7.442479833
355	7.44047574
356	7.438512786
357	7.436497427
358	7.43449471
359	7.432504156
360	7.430514126
361	7.428525931
362	7.426527829
363	7.424550471
364	7.422573522
365	7.420592528
366	7.418607546
367	7.416638846
368	7.414668127
369	7.412703824
370	7.410729403
371	7.408803881
372	7.406847794
373	7.404894564
374	7.402944871
375	7.40100243
376	7.399043741
377	7.397096147
378	7.395189519
379	7.393239763
380	7.391340394
381	7.389410546
382	7.387487224
383	7.385594311
384	7.383708439
385	7.381798463
386	7.379883144
387	7.377969593
388	7.3760572
389	7.374147581
390	7.372227937
391	7.370358325
392	7.368490475
393	7.366629703
394	7.364721876
395	7.36283252
396	7.360931471
397	7.359040963
398	7.357150834
399	7.355270489
400	7.353423681
401	7.3515812
402	7.349741044
403	7.347856361
404	7.345990094
405	7.344108714
406	7.342279252
407	7.340453263
408	7.338597845
409	7.336740585
410	7.334887668
411	7.333071513
412	7.331224681
413	7.32937942
414	7.327533262
415	7.325720181
416	7.323918481
417	7.322085022
418	7.320237192
419	7.318409643
420	7.31661727
421	7.314792429
422	7.312971746
423	7.311153867
424	7.309349467
425	7.307535829
426	7.305723722
427	7.303904597
428	7.302100286
429	7.300329647
430	7.298533783
431	7.296724521
432	7.294928881
433	7.293136556
434	7.291378983
435	7.289591983
436	7.287810354
437	7.286023828
438	7.284276029
439	7.282531785
440	7.28075862
441	7.278984751
442	7.277252996
443	7.275488971
444	7.273726279
445	7.271964233
446	7.270237642
447	7.268482227
448	7.266723234
449	7.264969319
450	7.263252307
451	7.26150394
452	7.259761883
453	7.258024357
454	7.256288055
455	7.25455024
456	7.252812391
457	7.251113156
458	7.249384723
459	7.247659267
460	7.245936241
461	7.244201067
462	7.242513381
463	7.240794206
464	7.239081847
465	7.237401927
466	7.235694866
467	7.233986719
468	7.232281583
469	7.230566946
470	7.228898549
471	7.227189688
472	7.225526791
473	7.22383637
474	7.2221343
475	7.220430939
476	7.218745554
477	7.217060671
478	7.215383829
479	7.213691591
480	7.212019292
481	7.210376164
482	7.208705946
483	7.207068737
484	7.205403899
485	7.20377104
486	7.202141452
487	7.200484871
488	7.198822111
489	7.197167584
490	7.195547297
491	7.193896741
492	7.192249591
493	7.190636022
494	7.18898983
495	7.187336397
496	7.185688316
497	7.184085002
498	7.182451532
499	7.180805612
500	7.179182704
501	7.177555992
502	7.175932581
503	7.174341891
504	7.172723351
505	7.171092914
506	7.169510155
507	7.167895678
508	7.166286534
509	7.16471056
510	7.163107863
511	7.161491573
512	7.159895007
513	7.158327665
514	7.156717197
515	7.155126003
516	7.153536512
517	7.151947614
518	7.150347205
519	7.148793109
520	7.14720956
521	7.145629403
522	7.144051252
523	7.142482875
524	7.140938995
525	7.139365465
526	7.137795732
527	7.136234307
528	7.134669469
529	7.133110348
530	7.131537471
531	7.129981188
532	7.12841163
533	7.126858976
534	7.125307665
535	7.123745819
536	7.122199303
537	7.120652542
538	7.119139257
539	7.117628676
540	7.116092033
541	7.114560906
542	7.113035861
543	7.111537454
544	7.110004808
545	7.108475782
546	7.106947017
547	7.105454203
548	7.103937789
549	7.102448132
