iter	Passed	Remaining
0	731	7314105
1	1186	5929021
2	1698	5658391
3	2521	6300483
4	2924	5845169
5	3282	5467103
6	3702	5285716
7	4072	5086864
8	4495	4990102
9	5242	5237373
10	5688	5165776
11	6048	5034612
12	6436	4944596
13	6826	4869056
14	7149	4759120
15	7501	4681037
16	7864	4618296
17	8250	4575318
18	8604	4520047
19	9007	4494580
20	9357	4446486
21	9742	4418795
22	10112	4386838
23	10509	4368653
24	10873	4338412
25	11218	4303518
26	11523	4256610
27	11996	4272489
28	12328	4239037
29	12627	4196663
30	12971	4171513
31	13279	4136453
32	13637	4118962
33	13975	4096319
34	14343	4083876
35	14764	4086402
36	15105	4067338
37	15446	4049316
38	15786	4031943
39	16162	4024515
40	16663	4047667
41	17038	4039700
42	17422	4034224
43	17754	4017325
44	18097	4003591
45	18409	3983557
46	18771	3975175
47	19090	3958092
48	19404	3940685
49	19746	3929650
50	20127	3926393
51	20464	3915096
52	20819	3907367
53	21192	3903412
54	21522	3891601
55	21855	3880889
56	22194	3871526
57	22528	3861754
58	22896	3857928
59	23296	3859398
60	23887	3892052
61	24218	3882019
62	24568	3875170
63	24918	3868642
64	25327	3871285
65	25725	3872107
66	26119	3872273
67	26623	3888524
68	27133	3905317
69	28216	4002693
70	29522	4128519
71	30877	4257658
72	31749	4317430
73	32489	4357929
74	33236	4398232
75	33769	4409593
76	34703	4472230
77	35188	4476101
78	35681	4480917
79	36197	4488440
80	36657	4488995
81	37028	4478617
82	37389	4467421
83	37745	4455708
84	38128	4447573
85	38472	4435123
86	38856	4427409
87	39238	4419696
88	39623	4412445
89	40025	4407301
90	40378	4396863
91	40763	4390021
92	41142	4382810
93	41479	4371266
94	41820	4360288
95	42141	4347601
96	42491	4338058
97	42824	4327049
98	43163	4316790
99	43505	4307023
100	43828	4295578
101	44171	4286356
102	44469	4272999
103	44813	4264164
104	45235	4262902
105	45590	4255435
106	46025	4255437
107	46605	4268686
108	46913	4257075
109	47385	4260382
110	47901	4267565
111	48288	4263204
112	48645	4256287
113	48935	4243692
114	53094	4563779
115	54108	4610442
116	56087	4737699
117	57226	4792453
118	58471	4855136
119	59294	4881954
120	59870	4888074
121	60568	4904056
122	61388	4929570
123	62297	4961658
124	62986	4975915
125	63387	4967369
126	63817	4961205
127	64286	4958093
128	64732	4953315
129	65253	4954264
130	65663	4946836
131	66070	4939307
132	66439	4929041
133	66793	4917779
134	67228	4912656
135	67749	4913799
136	68226	4911809
137	68759	4913822
138	69155	4906065
139	69545	4897982
140	70051	4898112
141	70442	4890269
142	70825	4882004
143	71262	4877491
144	71639	4869023
145	72038	4862119
146	72460	4856813
147	72778	4844720
148	73132	4835097
149	73569	4831087
150	73970	4824739
151	74274	4812182
152	74628	4803019
153	74975	4793566
154	75319	4784031
155	75676	4775362
156	76273	4781880
157	76591	4770955
158	77009	4766340
159	77471	4764479
160	78095	4772580
161	78564	4771095
162	79210	4780345
163	79668	4778160
164	80170	4778664
165	80580	4773669
166	80990	4768764
167	81413	4764654
168	81763	4756323
169	82119	4748433
170	82509	4742583
171	82958	4740184
172	83404	4737680
173	83881	4736898
174	84309	4733363
175	84689	4727204
176	85121	4723981
177	85608	4723833
178	86061	4721864
179	86428	4715144
180	86872	4712715
181	87365	4712953
182	87966	4718960
183	88886	4741905
184	89330	4739357
185	89708	4733319
186	90204	4733584
187	90636	4730452
188	91093	4728677
189	91508	4724749
190	91944	4721890
191	92380	4719087
192	92733	4712128
193	93170	4709424
194	93523	4702549
195	93882	4696059
196	94211	4688097
197	94587	4682574
198	95132	4685401
199	95694	4689009
200	96147	4687309
201	96582	4684720
202	97049	4683712
203	97509	4682349
204	97984	4681729
205	98399	4678291
206	98898	4678789
207	100119	4713332
208	100642	4714791
209	101173	4716608
210	101590	4713145
211	102125	4715138
